Category,Award Name,Nomination Period,Announcement Date,Venue
People,The Saucest Brand for Talent,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
People,The Saucest Workplace & Culture,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
People,The Saucest Chief People Officer of the Year,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
Technology,The Saucest Tech Solution,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
Technology,The Saucest Process Transformation,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
Technology,The Saucest Tech Collab,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
Technology,The Saucest Tech Scaleup,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
Technology,The Saucest Infrastructure Enabler,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
Technology,The Saucest Tech Visionary of the Year,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
Technology,The Saucest Woman in Tech,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
Technology,The Saucest Chief Technology Officer,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
AI Transformation,The Saucest AI-Driven Company,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
AI Transformation,The Saucest AI Governance Leadership Award by ETDA,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
ESG Impact,The Saucest Brand for a Better Planet,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
Entrepreneur,The Saucest Venture,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
Entrepreneur,The Saucest Rising Star Entrepreneur,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
Entrepreneur,The Saucest Founder of the Year,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
Business Building & Investment,The Saucest Ecosystem Catalyst,Now – 31 July 2026,2026-08-27,"Techsauce Global Summit 2026 (Main Stadium), Queen Sirikit National Convention Center (QSNCC), Bangkok, Thailand"
