Company / Exhibitor,Booth
SORASO Hospitality Native,A34
SOTI,B3-04
"SourceCode Co., Ltd.",15
Sunsara AI,A69
SUPER,C6
Superteam Thailand,A3
Synology,26
"SYSTRONICS CO.,LTD.",13
Taiwan Startup Terrace,C2-12
TechGALA / Central Japan,A71
TED FUND,3
Teknologi ASV Sdn Bhd,C3-04
Thailand Convention and...,C5
Thailand Post,Not shown
ThaiLLM,A77
Thimphu TechPark Limited,Not shown
TIGERSOFT,A75
TMES Company Limited,6
Tomazz,A6
Tonagena,B8-03
Treasure AI,33
TREEGAL,A61
TRUE DIGITAL PARK,7
TRUSTBOX FULFILLMENT,A24
TurfSat,B8-02
upGrad,A2
Vaxion Korea Inc.,A23
VectorFlux One by GitHouse,C2-10
Vela Software,B3-05
VOICERACX,12
Whale AI,A69
Wineworld,B9-04
WIZ AI (THAILAND)_...,11
X-DIGITAL @THAILAND,C3
Xelware Pte Ltd,A60
YDM,A53
YenProtek AIOT,C2-11
Yindii,B9-05
Zanroo Thailand,A27
Zipevent,38
"ZPS CORPORATION CO.,...",D3-04
"100X CO., LTD.",28
"2CS MANAGEMENT CO.,...",D3-09
ActiveMedia Thailand,C1
Advanced Genetics &...,B8-06
Advanced iService,A42
"Advmeds Co., Ltd.",C2-01
AgentID,B8-06
AI & Intelligent Banking,31
AI Rudder,A44
AiStyle,C2-02
AIVEN,A70
AIYA,A17
Alpha Reality,B9-03
Altotech,A29
Amity,C4
ANOSUPO AI,A20
Apollo Power,C2-03
Apposter Inc.,C8-03
Avision,A37
"B CUBE SOLUTION CO., LTD.",D3-03
BAMBOO MEDICAL...,D3-07
BBOX Limited,C2-04
BDI,Not shown
BILLION PRIMA Sdn Bhd,C3-06
BIPO,16
"BNV Solutions Co., Ltd",C8-06
Bold Group Thailand,A79
Boomi,B12
BOTNOI GROUP,A63
Braze,25
BUZZEBEES,6
Canadian Embassy,B3
CANS CX CLOUD (Cloud...,A16
CarbonClean Energy,C2-05
CARBONMICE,C5-06
Chess Money,A57
ChillPay,A22
Chon Works,A50
Classiq Technologies,B7
Cloud-TA,A35
Cloud9Care4Kids,Not shown
Coastal Link,A19
Convert Cake,A25
Couchbase,24
CRADLE,C3-07
CU Innovation Hub,Not shown
Czech Republic,B8
DataArc,A81
Dawn,39
DeeMoney,B2
DEMETER ICT,9
Dentsu FUTURE MANDALA,30
Digital Economy Promotio...,D3
"DMolution Co., Ltd.",A7
Doppio Tech,A45
Dunita International Sdn...,C3-05
Earthology Studio,30
ECOTEN urban comfort,B8-01
"ENVIOSODY TECH CO., LTD.",D3-10
ekoXense Enterprise Ltd.,C2-06
EventTech.ai,C5-02
EXPOPASS,C5-09
FACTORIUM,A30
Farben Information,A56
FastShip,A18
FASTWORK,A84
Finnomena,B13
"FITSLOTH CO., LTD.",D3-06
"FOO-D CO., LTD.",D3-11
Forward Insight,A11
FOSTERBRIDGE,B5
FUJIFILM Business...,8
Galenio,B8-04
General Magick,A68
Godspeed IT Service Ltd.,C2-07
"Gowajee Co., Ltd",A5
H LAB,A32
HAPPY THREE CREATION_...,A48
"Healcerion Co., Ltd.",C8-06
Hong Kong Cyberport,B9
Hong Kong Trade_...,2
HONG KONG TRADE_...,2
HR Monster,A39
HUAKUN AI COMPUTING...,A82
HUMANICA,17
Humansoft,A31
HUMMIX,23
Hyred Recruitment,A40
"ICONEXT Co., Ltd.",A38
"IDEVA CORPORATION CO.,...",A10
IDYLLIAS CORPORATION_...,A9
"iFLYTEK Co., Ltd.",D1
IN2IT Company Limited,A54
"Inflight co., ltd.",C5-04
International Network...,A36
Ipintra Networks Sdn Bhd,C3-05
Japan Zone,Not shown
Jetder,A58
Jetro (Japan Zone),Not shown
JUBILANT TECH,A4
KA Imaging - Represented...,B8-01
Kalguroo,A8
KO-EXPERIENCE,A72
Kollective,C5-08
Lango,B9-01
"Liberator Securities Co., Ltd.",B6
Lightwork AI,A41
Limitless Club,A73
Lisa AI | by Brandface,A83
LOBBYIST,A74
LOOLOO TECHNOLOGY CO....,D3-01
Loxley Orbit PCL.,4
Magic Box Solutions,A52
MALAYSIA,C3
"Manao Software Co., Ltd",A78
MarkAny Inc,C8-01
MarketingGuru,A26
"MATCHDAY HUB CO., LTD.",D3-12
"MEDIS HEALTH ACT CO.,...",D3-02
Mek,C5-07
Melaka Corp,C8-08
Metro Systems Corporation,B4
MIND INTERVIEW,C2-08
Monti AI Voice Agent,A46
"My Mooban Co.,Ltd",C5-10
"NamoWebiz, Inc",C8-07
National Telecom Public...,B1
NECTEC,20
"Neversitup Co.,Ltd",A14
Newbase Inc.,C8-02
NEXTINFRA,A21
NextT Asia Accelerator,1
NIA,35
Norrin Asia Ltd.,A62
NPR Digital Partner,A13
